model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,entw,0.2,3.25,0.275,383.74322922685957,0.07968854722731744,383.66354067963226
Heston,entw,0.2,3.25,0.3,inf,0.07968854722731744,inf
Heston,entw,0.2,3.625,0.1,inf,0.07968854722731744,inf
Heston,entw,0.2,3.625,0.125,inf,0.07968854722731744,inf
Heston,entw,0.2,3.625,0.15,inf,0.07968854722731744,inf
Heston,entw,0.2,3.625,0.175,inf,0.07968854722731744,inf
Heston,entw,0.2,3.625,0.2,246.66658442516206,0.07968854722731744,246.58689587793475
Heston,entw,0.2,3.625,0.22499999999999998,inf,0.07968854722731744,inf
Heston,entw,0.2,3.625,0.25,inf,0.07968854722731744,inf
Heston,entw,0.2,3.625,0.275,inf,0.07968854722731744,inf
Heston,entw,0.2,3.625,0.3,inf,0.07968854722731744,inf
Heston,entw,0.2,4.0,0.1,0.01489481275479565,0.07968854722731744,-0.06479373447252179
Heston,entw,0.2,4.0,0.125,27.05571326474262,0.07968854722731744,26.976024717515305
Heston,entw,0.2,4.0,0.15,314.29542281411716,0.07968854722731744,314.21573426688985
Heston,entw,0.2,4.0,0.175,inf,0.07968854722731744,inf
Heston,entw,0.2,4.0,0.2,71.52525483248827,0.07968854722731744,71.44556628526095
Heston,entw,0.2,4.0,0.22499999999999998,inf,0.07968854722731744,inf
Heston,entw,0.2,4.0,0.25,271.4543947912438,0.07968854722731744,271.37470624401647
Heston,entw,0.2,4.0,0.275,inf,0.07968854722731744,inf
Heston,entw,0.2,4.0,0.3,inf,0.07968854722731744,inf
