model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,ele,0.2,0.0,0.125,-0.1869727064426463,-0.10366911673044588,-0.08330358971220042
Jump,ele,0.2,0.0,0.25,-0.15194925159356143,-0.10366911673044588,-0.048280134863115554
Jump,ele,0.2,0.0,0.375,-0.18382098140823022,-0.10366911673044588,-0.08015186467778435
Jump,ele,0.2,0.0,0.5,-0.17017858683695364,-0.10366911673044588,-0.06650947010650776
Jump,ele,0.2,0.0,0.625,-0.1752173264583139,-0.10366911673044588,-0.07154820972786802
Jump,ele,0.2,0.0,0.75,-0.25703916013728345,-0.10366911673044588,-0.15337004340683758
Jump,ele,0.2,0.0,0.875,-0.21104772148630468,-0.10366911673044588,-0.10737860475585881
Jump,ele,0.2,0.0,1.0,-0.19543925132616746,-0.10366911673044588,-0.09177013459572159
Jump,ele,0.2,0.07500000000000001,0.0,-0.22702152672370812,-0.10366911673044588,-0.12335240999326225
Jump,ele,0.2,0.07500000000000001,0.125,-0.2731216721600245,-0.10366911673044588,-0.1694525554295786
Jump,ele,0.2,0.07500000000000001,0.25,-0.3123917297192774,-0.10366911673044588,-0.20872261298883155
Jump,ele,0.2,0.07500000000000001,0.375,-0.3401486616094155,-0.10366911673044588,-0.2364795448789696
Jump,ele,0.2,0.07500000000000001,0.5,-0.3718307247516164,-0.10366911673044588,-0.2681616080211705
Jump,ele,0.2,0.07500000000000001,0.625,-0.4739788054236985,-0.10366911673044588,-0.37030968869325265
Jump,ele,0.2,0.07500000000000001,0.75,-0.5269337372826001,-0.10366911673044588,-0.4232646205521542
Jump,ele,0.2,0.07500000000000001,0.875,-0.5211940433677538,-0.10366911673044588,-0.4175249266373079
Jump,ele,0.2,0.07500000000000001,1.0,-0.47527410400908343,-0.10366911673044588,-0.37160498727863756
Jump,ele,0.2,0.14999999999999997,0.0,-0.22931952545712653,-0.10366911673044588,-0.12565040872668065
Jump,ele,0.2,0.14999999999999997,0.125,-0.2978834268941216,-0.10366911673044588,-0.19421431016367574
Jump,ele,0.2,0.14999999999999997,0.25,-0.3615752997105969,-0.10366911673044588,-0.257906182980151
Jump,ele,0.2,0.14999999999999997,0.375,-0.42053929332546247,-0.10366911673044588,-0.3168701765950166
Jump,ele,0.2,0.14999999999999997,0.5,-0.5530303610288347,-0.10366911673044588,-0.44936124429838886
Jump,ele,0.2,0.14999999999999997,0.625,-0.5907032439610722,-0.10366911673044588,-0.48703412723062633
Jump,ele,0.2,0.14999999999999997,0.75,-0.7231303247689111,-0.10366911673044588,-0.6194612080384653
Jump,ele,0.2,0.14999999999999997,0.875,-0.7480692253469814,-0.10366911673044588,-0.6444001086165355
Jump,ele,0.2,0.14999999999999997,1.0,-0.8231241298161783,-0.10366911673044588,-0.7194550130857325
Jump,ele,0.2,0.22500000000000003,0.0,-0.24899486517478886,-0.10366911673044588,-0.14532574844434298
Jump,ele,0.2,0.22500000000000003,0.125,-0.3785435229184735,-0.10366911673044588,-0.2748744061880276
Jump,ele,0.2,0.22500000000000003,0.25,-0.45368810265274917,-0.10366911673044588,-0.3500189859223033
Jump,ele,0.2,0.22500000000000003,0.375,-0.5565772824565911,-0.10366911673044588,-0.45290816572614523
Jump,ele,0.2,0.22500000000000003,0.5,-0.6941434258437955,-0.10366911673044588,-0.5904743091133496
Jump,ele,0.2,0.22500000000000003,0.625,-0.7589712491742239,-0.10366911673044588,-0.655302132443778
Jump,ele,0.2,0.22500000000000003,0.75,-0.8245021463928914,-0.10366911673044588,-0.7208330296624456
Jump,ele,0.2,0.22500000000000003,0.875,-0.9131859677625684,-0.10366911673044588,-0.8095168510321226
Jump,ele,0.2,0.22500000000000003,1.0,-0.916492445548146,-0.10366911673044588,-0.8128233288177001
Jump,ele,0.2,0.3,0.0,-0.23016294058858333,-0.10366911673044588,-0.12649382385813746
Jump,ele,0.2,0.3,0.125,-0.41175964977985,-0.10366911673044588,-0.30809053304940415
Jump,ele,0.2,0.3,0.25,-0.5646522353795635,-0.10366911673044588,-0.4609831186491177
Jump,ele,0.2,0.3,0.375,-0.7324099590534925,-0.10366911673044588,-0.6287408423230466
Jump,ele,0.2,0.3,0.5,-0.8024895754593604,-0.10366911673044588,-0.6988204587289145
Jump,ele,0.2,0.3,0.625,-0.8654092097683057,-0.10366911673044588,-0.7617400930378598
Jump,ele,0.2,0.3,0.75,-0.8915402510013678,-0.10366911673044588,-0.7878711342709219
Jump,ele,0.2,0.3,0.875,-0.9412316478142192,-0.10366911673044588,-0.8375625310837733
Jump,ele,0.2,0.3,1.0,-0.9676321007352567,-0.10366911673044588,-0.8639629840048109
