model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,entw,0.8,0.0375,0.32500000000000007,0.02878609830770751,0.005756302045727857,0.02302979626197965
GBM,entw,0.8,0.0375,0.36250000000000004,0.03852223213345707,0.005756302045727857,0.03276593008772921
GBM,entw,0.8,0.0375,0.4,0.06465187796855787,0.005756302045727857,0.05889557592283001
GBM,entw,0.8,0.04375,0.1,0.00042665828258003913,0.005756302045727857,-0.005329643763147818
GBM,entw,0.8,0.04375,0.1375,0.0015194684893375943,0.005756302045727857,-0.004236833556390263
GBM,entw,0.8,0.04375,0.17500000000000002,0.0033157295099832673,0.005756302045727857,-0.0024405725357445895
GBM,entw,0.8,0.04375,0.21250000000000002,0.0062697620717628855,0.005756302045727857,0.0005134600260350286
GBM,entw,0.8,0.04375,0.25,0.01139703707343065,0.005756302045727857,0.005640735027702792
GBM,entw,0.8,0.04375,0.28750000000000003,0.01813539436080691,0.005756302045727857,0.012379092315079054
GBM,entw,0.8,0.04375,0.32500000000000007,0.02598698450086756,0.005756302045727857,0.020230682455139704
GBM,entw,0.8,0.04375,0.36250000000000004,0.035769415518411174,0.005756302045727857,0.030013113472683317
GBM,entw,0.8,0.04375,0.4,0.06090567934621638,0.005756302045727857,0.05514937730048852
GBM,entw,0.8,0.05,0.1,0.0005439402935594195,0.005756302045727857,-0.005212361752168437
GBM,entw,0.8,0.05,0.1375,0.0012529175656401659,0.005756302045727857,-0.004503384480087691
GBM,entw,0.8,0.05,0.17500000000000002,0.0028086598406131813,0.005756302045727857,-0.0029476422051146756
GBM,entw,0.8,0.05,0.21250000000000002,0.005516232274944022,0.005756302045727857,-0.00024006977078383507
GBM,entw,0.8,0.05,0.25,0.009513451057386657,0.005756302045727857,0.0037571490116588002
GBM,entw,0.8,0.05,0.28750000000000003,0.017204600479125753,0.005756302045727857,0.011448298433397897
GBM,entw,0.8,0.05,0.32500000000000007,0.028512876640391704,0.005756302045727857,0.022756574594663848
GBM,entw,0.8,0.05,0.36250000000000004,0.05190238563074234,0.005756302045727857,0.046146083585014486
GBM,entw,0.8,0.05,0.4,0.06986381523423701,0.005756302045727857,0.06410751318850916
GBM,entw,0.8,0.056249999999999994,0.1,0.0004254616956025359,0.005756302045727857,-0.005330840350125321
GBM,entw,0.8,0.056249999999999994,0.1375,0.00126251176852743,0.005756302045727857,-0.004493790277200427
GBM,entw,0.8,0.056249999999999994,0.17500000000000002,0.0032069816998285816,0.005756302045727857,-0.0025493203458992753
GBM,entw,0.8,0.056249999999999994,0.21250000000000002,0.005005553392951612,0.005756302045727857,-0.0007507486527762453
GBM,entw,0.8,0.056249999999999994,0.25,0.00859149879614396,0.005756302045727857,0.0028351967504161024
GBM,entw,0.8,0.056249999999999994,0.28750000000000003,0.011927281687457159,0.005756302045727857,0.006170979641729302
GBM,entw,0.8,0.056249999999999994,0.32500000000000007,0.020719590347561434,0.005756302045727857,0.014963288301833577
GBM,entw,0.8,0.056249999999999994,0.36250000000000004,0.04874366695495991,0.005756302045727857,0.04298736490923205
GBM,entw,0.8,0.056249999999999994,0.4,0.08471034526497223,0.005756302045727857,0.07895404321924437
GBM,entw,0.8,0.0625,0.1,0.0004346131288501809,0.005756302045727857,-0.005321688916877676
GBM,entw,0.8,0.0625,0.1375,0.0011789771991157494,0.005756302045727857,-0.0045773248466121075
