model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,esl,0.8,3.625,0.22499999999999998,1.3538270462694584,0.42589337162639934,0.9279336746430591
Heston,esl,0.8,3.625,0.25,0.9272379808899347,0.42589337162639934,0.5013446092635354
Heston,esl,0.8,3.625,0.275,1.075567572069207,0.42589337162639934,0.6496742004428078
Heston,esl,0.8,3.625,0.3,0.9583675707839938,0.42589337162639934,0.5324741991575945
Heston,esl,0.8,4.0,0.1,0.495355453087986,0.42589337162639934,0.06946208146158667
Heston,esl,0.8,4.0,0.125,0.5467207455041304,0.42589337162639934,0.12082737387773107
Heston,esl,0.8,4.0,0.15,0.8770509235709784,0.42589337162639934,0.451157551944579
Heston,esl,0.8,4.0,0.175,1.0349765729278033,0.42589337162639934,0.609083201301404
Heston,esl,0.8,4.0,0.2,0.8102409827884527,0.42589337162639934,0.38434761116205335
Heston,esl,0.8,4.0,0.22499999999999998,0.6017346247936807,0.42589337162639934,0.17584125316728133
Heston,esl,0.8,4.0,0.25,1.2344332171339372,0.42589337162639934,0.8085398455075379
Heston,esl,0.8,4.0,0.275,0.9449876104734962,0.42589337162639934,0.5190942388470969
Heston,esl,0.8,4.0,0.3,1.1805329844156063,0.42589337162639934,0.754639612789207
