model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,ente,0.8,3.25,0.22499999999999998,646.6704365429728,0.0456904096988926,646.6247461332739
Heston,ente,0.8,3.25,0.25,14.265110157272565,0.0456904096988926,14.219419747573673
Heston,ente,0.8,3.25,0.275,6.283754471924919,0.0456904096988926,6.238064062226027
Heston,ente,0.8,3.25,0.3,55.7176170120362,0.0456904096988926,55.67192660233731
Heston,ente,0.8,3.625,0.1,1.7302429485625033,0.0456904096988926,1.6845525388636107
Heston,ente,0.8,3.625,0.125,66.39212681450397,0.0456904096988926,66.34643640480508
Heston,ente,0.8,3.625,0.15,18.98197189559515,0.0456904096988926,18.93628148589626
Heston,ente,0.8,3.625,0.175,2.521360982500936,0.0456904096988926,2.4756705728020436
Heston,ente,0.8,3.625,0.2,157.29258347118318,0.0456904096988926,157.2468930614843
Heston,ente,0.8,3.625,0.22499999999999998,23.66474534403497,0.0456904096988926,23.619054934336077
Heston,ente,0.8,3.625,0.25,61.030219150047735,0.0456904096988926,60.98452874034884
Heston,ente,0.8,3.625,0.275,inf,0.0456904096988926,inf
Heston,ente,0.8,3.625,0.3,74.2156280916998,0.0456904096988926,74.1699376820009
Heston,ente,0.8,4.0,0.1,0.03360864206904535,0.0456904096988926,-0.012081767629847251
Heston,ente,0.8,4.0,0.125,1.0969486053210145,0.0456904096988926,1.0512581956221219
Heston,ente,0.8,4.0,0.15,0.49798670749804286,0.0456904096988926,0.45229629779915026
Heston,ente,0.8,4.0,0.175,14.232240439713587,0.0456904096988926,14.186550030014695
Heston,ente,0.8,4.0,0.2,5.271172987678932,0.0456904096988926,5.22548257798004
Heston,ente,0.8,4.0,0.22499999999999998,inf,0.0456904096988926,inf
Heston,ente,0.8,4.0,0.25,19.812551852125353,0.0456904096988926,19.76686144242646
Heston,ente,0.8,4.0,0.275,inf,0.0456904096988926,inf
Heston,ente,0.8,4.0,0.3,320.93614437502,0.0456904096988926,320.89045396532106
